epoch,batch,loss,accuracy
1,760,0.5147,0.7480
1,765,0.5351,0.7309
1,770,0.5109,0.7484
1,775,0.5098,0.7516
1,780,0.5262,0.7387
1,785,0.5165,0.7535
1,790,0.5271,0.7383
1,795,0.5242,0.7387
1,800,0.5150,0.7441
1,805,0.5151,0.7488
1,810,0.5233,0.7367
1,815,0.5074,0.7559
1,820,0.5123,0.7441
1,825,0.5118,0.7523
1,830,0.5192,0.7398
1,835,0.5159,0.7387
1,840,0.5252,0.7492
1,845,0.5197,0.7449
1,850,0.5116,0.7461
1,855,0.5111,0.7531
1,860,0.5172,0.7430
1,865,0.5056,0.7516
1,870,0.5120,0.7426
1,875,0.5072,0.7527
1,880,0.5042,0.7512
1,885,0.5221,0.7484
1,890,0.5126,0.7500
1,895,0.5101,0.7488
1,900,0.4970,0.7531
1,905,0.5211,0.7359
1,910,0.5006,0.7582
1,915,0.5218,0.7473
1,920,0.4969,0.7648
1,925,0.5109,0.7480
1,930,0.5261,0.7410
1,935,0.4999,0.7590
1,940,0.4867,0.7672
1,945,0.5246,0.7371
1,950,0.4930,0.7641
1,955,0.5103,0.7512
1,960,0.5160,0.7496
1,965,0.5094,0.7574
1,970,0.5115,0.7613
1,975,0.5183,0.7453
1,980,0.5230,0.7391
1,985,0.5046,0.7562
1,990,0.4923,0.7664
1,995,0.5152,0.7414
1,1000,0.5089,0.7586
1,1005,0.5131,0.7523
1,1010,0.5178,0.7453
1,1015,0.5041,0.7555
1,1020,0.5083,0.7539
1,1025,0.5068,0.7562
1,1030,0.5141,0.7453
1,1035,0.5041,0.7438
1,1040,0.5210,0.7383
1,1045,0.5113,0.7559
1,1050,0.4943,0.7637
1,1055,0.5016,0.7586
1,1060,0.5165,0.7523
1,1065,0.4888,0.7684
1,1070,0.5177,0.7527
1,1075,0.5202,0.7480
1,1080,0.5055,0.7559
1,1085,0.5068,0.7543
1,1090,0.5179,0.7434
1,1095,0.5058,0.7570
1,1100,0.5116,0.7523
1,1105,0.4978,0.7617
1,1110,0.4832,0.7660
1,1115,0.5133,0.7508
1,1120,0.5244,0.7457
1,1125,0.5001,0.7559
1,1130,0.4920,0.7652
1,1135,0.5124,0.7496
1,1140,0.4869,0.7676
1,1145,0.5049,0.7457
1,1150,0.4973,0.7609
1,1155,0.5067,0.7562
1,1160,0.5029,0.7555
1,1165,0.5013,0.7625
1,1170,0.5015,0.7559
1,1175,0.5023,0.7574
1,1180,0.4965,0.7641
1,1185,0.5085,0.7633
1,1190,0.5016,0.7496
1,1195,0.5192,0.7523
1,1200,0.4944,0.7645
1,1205,0.5043,0.7621
1,1210,0.4936,0.7574
1,1215,0.4972,0.7598
1,1220,0.5062,0.7531
1,1225,0.5024,0.7469
1,1230,0.5082,0.7574
1,1235,0.5071,0.7566
1,1240,0.5039,0.7637
1,1245,0.4886,0.7602
1,1250,0.5058,0.7605
1,1255,0.5002,0.7617
1,1260,0.5122,0.7496
1,1265,0.4875,0.7598
1,1270,0.5055,0.7500
1,1275,0.5127,0.7531
1,1280,0.5030,0.7523
1,1285,0.5127,0.7465
1,1290,0.5048,0.7586
1,1295,0.5103,0.7422
1,1300,0.4898,0.7531
1,1305,0.4942,0.7625
1,1310,0.4946,0.7590
1,1315,0.4996,0.7590
1,1320,0.4959,0.7645
1,1325,0.4895,0.7660
1,1330,0.4954,0.7660
1,1335,0.5026,0.7559
1,1340,0.5105,0.7496
1,1345,0.5183,0.7484
1,1350,0.4992,0.7742
1,1355,0.5125,0.7469
1,1360,0.4978,0.7598
1,1365,0.4983,0.7555
1,1370,0.5078,0.7633
1,1375,0.5058,0.7625
1,1380,0.4970,0.7641
1,1385,0.5070,0.7496
1,1390,0.5091,0.7484
1,1395,0.5041,0.7508
1,1400,0.4836,0.7727
1,1405,0.4902,0.7703
1,1410,0.5038,0.7586
1,1415,0.4803,0.7742
1,1420,0.5092,0.7586
1,1425,0.5036,0.7539
1,1430,0.5032,0.7500
1,1435,0.5127,0.7520
1,1440,0.4956,0.7613
1,1445,0.5013,0.7527
1,1450,0.5047,0.7551
1,1455,0.5095,0.7480
1,1460,0.5135,0.7492
1,1465,0.5103,0.7441
1,1470,0.5169,0.7414
1,1475,0.5018,0.7578
1,1480,0.4826,0.7664
1,1485,0.5134,0.7566
1,1490,0.5057,0.7551
1,1495,0.5087,0.7504
1,1500,0.5114,0.7602
1,1505,0.4850,0.7691
1,1510,0.5033,0.7508
1,1515,0.5022,0.7574
1,1520,0.4978,0.7586
1,1525,0.5054,0.7555
1,1530,0.5148,0.7523
1,1535,0.4948,0.7699
1,1540,0.5169,0.7559
1,1545,0.4944,0.7715
1,1550,0.5072,0.7480
1,1555,0.4892,0.7598
1,1560,0.5051,0.7676
